method,split,seed,fold,far,recall_050,threshold,consecutive
v2 teacher,development,0,4,0.1111111111111111,0.5512820512820513,0.25,3
v2 teacher,development,0,4,0.1111111111111111,0.44871794871794873,0.25,4
v2 teacher,development,0,4,0.2222222222222222,0.7051282051282052,0.3,1
v2 teacher,development,0,4,0.14814814814814814,0.5897435897435898,0.3,2
v2 teacher,development,0,4,0.1111111111111111,0.5384615384615384,0.3,3
v2 teacher,development,0,4,0.1111111111111111,0.41025641025641024,0.3,4
v2 teacher,development,0,4,0.18518518518518517,0.6794871794871795,0.35,1
v2 teacher,development,0,4,0.14814814814814814,0.5512820512820513,0.35,2
v2 teacher,development,0,4,0.1111111111111111,0.5384615384615384,0.35,3
v2 teacher,development,0,4,0.1111111111111111,0.41025641025641024,0.35,4
v2 teacher,development,0,4,0.14814814814814814,0.6410256410256411,0.4,1
v2 teacher,development,0,4,0.14814814814814814,0.5384615384615384,0.4,2
v2 teacher,development,0,4,0.1111111111111111,0.47435897435897434,0.4,3
v2 teacher,development,0,4,0.07407407407407407,0.38461538461538464,0.4,4
v2 teacher,development,0,4,0.14814814814814814,0.6410256410256411,0.45,1
v2 teacher,development,0,4,0.14814814814814814,0.5384615384615384,0.45,2
v2 teacher,development,0,4,0.1111111111111111,0.4358974358974359,0.45,3
v2 teacher,development,0,4,0.07407407407407407,0.38461538461538464,0.45,4
v2 teacher,development,0,4,0.14814814814814814,0.6025641025641025,0.5,1
v2 teacher,development,0,4,0.14814814814814814,0.5,0.5,2
v2 teacher,development,0,4,0.1111111111111111,0.4358974358974359,0.5,3
v2 teacher,development,0,4,0.07407407407407407,0.38461538461538464,0.5,4
v2 teacher,development,0,4,0.14814814814814814,0.5897435897435898,0.55,1
v2 teacher,development,0,4,0.14814814814814814,0.47435897435897434,0.55,2
v2 teacher,development,0,4,0.1111111111111111,0.41025641025641024,0.55,3
v2 teacher,development,0,4,0.07407407407407407,0.3717948717948718,0.55,4
v2 teacher,development,0,4,0.14814814814814814,0.5641025641025641,0.6,1
v2 teacher,development,0,4,0.1111111111111111,0.46153846153846156,0.6,2
v2 teacher,development,0,4,0.07407407407407407,0.38461538461538464,0.6,3
v2 teacher,development,0,4,0.07407407407407407,0.358974358974359,0.6,4
v2 teacher,development,0,4,0.14814814814814814,0.5641025641025641,0.65,1
v2 teacher,development,0,4,0.1111111111111111,0.44871794871794873,0.65,2
v2 teacher,development,0,4,0.0,0.3717948717948718,0.65,3
v2 teacher,development,0,4,0.0,0.3333333333333333,0.65,4
v2 teacher,development,0,4,0.14814814814814814,0.5512820512820513,0.7,1
v2 teacher,development,0,4,0.1111111111111111,0.41025641025641024,0.7,2
v2 teacher,development,0,4,0.0,0.3717948717948718,0.7,3
v2 teacher,development,0,4,0.0,0.3333333333333333,0.7,4
v2 teacher,development,0,4,0.14814814814814814,0.48717948717948717,0.75,1
v2 teacher,development,0,4,0.1111111111111111,0.38461538461538464,0.75,2
v2 teacher,development,0,4,0.0,0.3717948717948718,0.75,3
v2 teacher,development,0,4,0.0,0.32051282051282054,0.75,4
v2 teacher,development,0,4,0.14814814814814814,0.47435897435897434,0.8,1
v2 teacher,development,0,4,0.1111111111111111,0.38461538461538464,0.8,2
v2 teacher,development,0,4,0.0,0.3717948717948718,0.8,3
v2 teacher,development,0,4,0.0,0.2948717948717949,0.8,4
v2 teacher,development,0,4,0.1111111111111111,0.44871794871794873,0.85,1
v2 teacher,development,0,4,0.1111111111111111,0.38461538461538464,0.85,2
v2 teacher,development,0,4,0.0,0.3333333333333333,0.85,3
v2 teacher,development,0,4,0.0,0.28205128205128205,0.85,4
v2 teacher,development,0,4,0.1111111111111111,0.3974358974358974,0.9,1
v2 teacher,development,0,4,0.1111111111111111,0.3333333333333333,0.9,2
v2 teacher,development,0,4,0.0,0.3076923076923077,0.9,3
v2 teacher,development,0,4,0.0,0.2692307692307692,0.9,4
v2 teacher,development,7,0,0.2962962962962963,0.868421052631579,0.1,1
v2 teacher,development,7,0,0.2222222222222222,0.8421052631578947,0.1,2
v2 teacher,development,7,0,0.2222222222222222,0.8157894736842105,0.1,3
v2 teacher,development,7,0,0.2222222222222222,0.7894736842105263,0.1,4
v2 teacher,development,7,0,0.2962962962962963,0.8552631578947368,0.15,1
v2 teacher,development,7,0,0.2222222222222222,0.8289473684210527,0.15,2
v2 teacher,development,7,0,0.2222222222222222,0.7763157894736842,0.15,3
v2 teacher,development,7,0,0.2222222222222222,0.6973684210526315,0.15,4
v2 teacher,development,7,0,0.2962962962962963,0.7894736842105263,0.2,1
v2 teacher,development,7,0,0.2222222222222222,0.7763157894736842,0.2,2
v2 teacher,development,7,0,0.2222222222222222,0.7236842105263158,0.2,3
v2 teacher,development,7,0,0.2222222222222222,0.6842105263157895,0.2,4
v2 teacher,development,7,0,0.2962962962962963,0.7631578947368421,0.25,1
v2 teacher,development,7,0,0.2222222222222222,0.75,0.25,2
v2 teacher,development,7,0,0.2222222222222222,0.6973684210526315,0.25,3
v2 teacher,development,7,0,0.2222222222222222,0.6578947368421053,0.25,4
v2 teacher,development,7,0,0.25925925925925924,0.75,0.3,1
v2 teacher,development,7,0,0.2222222222222222,0.7105263157894737,0.3,2
v2 teacher,development,7,0,0.2222222222222222,0.6842105263157895,0.3,3
v2 teacher,development,7,0,0.2222222222222222,0.5657894736842105,0.3,4
v2 teacher,development,7,0,0.25925925925925924,0.7236842105263158,0.35,1
v2 teacher,development,7,0,0.2222222222222222,0.7105263157894737,0.35,2
v2 teacher,development,7,0,0.2222222222222222,0.5921052631578947,0.35,3
v2 teacher,development,7,0,0.2222222222222222,0.5131578947368421,0.35,4
v2 teacher,development,7,0,0.18518518518518517,0.7236842105263158,0.4,1
v2 teacher,development,7,0,0.18518518518518517,0.6842105263157895,0.4,2
v2 teacher,development,7,0,0.18518518518518517,0.5526315789473685,0.4,3
v2 teacher,development,7,0,0.18518518518518517,0.47368421052631576,0.4,4
v2 teacher,development,7,0,0.18518518518518517,0.6973684210526315,0.45,1
v2 teacher,development,7,0,0.18518518518518517,0.6447368421052632,0.45,2
v2 teacher,development,7,0,0.18518518518518517,0.5526315789473685,0.45,3
v2 teacher,development,7,0,0.18518518518518517,0.47368421052631576,0.45,4
v2 teacher,development,7,0,0.18518518518518517,0.6973684210526315,0.5,1
v2 teacher,development,7,0,0.18518518518518517,0.5921052631578947,0.5,2
v2 teacher,development,7,0,0.18518518518518517,0.47368421052631576,0.5,3
v2 teacher,development,7,0,0.18518518518518517,0.4605263157894737,0.5,4
v2 teacher,development,7,0,0.18518518518518517,0.6710526315789473,0.55,1
v2 teacher,development,7,0,0.18518518518518517,0.5526315789473685,0.55,2
v2 teacher,development,7,0,0.18518518518518517,0.47368421052631576,0.55,3
